Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
283055,10548,Residential,Lease,6,Complete,29,29,12068.68,3713.44,7426.88,1769,8.85,9471,23209
305378,10548,Residential,Lease,28,Pipeline,1,21,5247.26,1990.34,10856.4,1428,7.14,8351,18094
312260,10548,Residential,Lease,9,Pipeline,1,19,3106.26,3106.26,11044.48,1292,6.46,6877,17257
281484,10549,Residential,Purchase,5,Pipeline,44,44,20255.1087,14090.5104,53720.0709,1791,15.18,11770,88065.69
294810,10549,Residential,Purchase,16,Complete,60,60,45828,7839,,,20.4,21868,60300
306171,10549,Residential,Purchase,5,Pipeline,39,39,40560,5577,4563,1673,15.21,10918,50700
286887,10549,Residential,Power Purchase Agreement,22,Pipeline,2,40,17655.284,7390.584,16012.932,2560,12.8,12162,41058.8
295594,10549,Residential,Purchase,9,Complete,30,30,12240,3600,20160,2340,11.7,11844,36000
297396,10549,Residential,Purchase,19,Complete,30,30,16405.68,4784.99,12987.83,1314,10.95,8634,34178.5
307655,10549,Residential,Purchase,15,Pipeline,35,35,12461.204,4772.376,9279.62,2380,11.9,14857,26513.2
286153,10549,Residential,Purchase,13,Complete,1,36,10886.03,3701.2502,7184.7798,1493,12.24,9758,21772.06
312977,10549,Residential,Purchase,22,Pipeline,16,16,8364,1845,2091,1264,6.32,6977,12300
279238,10550,Residential,Purchase,2,Pipeline,20,20,7622.1864,5716.6398,18420.2838,1308,6.54,6845,31759.11
289525,10550,Residential,Lease,3,Pipeline,13,13,20596.47,3688.92,6455.61,858,4.29,4697,30741
311631,10550,Residential,Purchase,7,Complete,24,24,8114.4,4057.2,16808.4,1656,8.28,8168,28980
298628,10550,Residential,Purchase,25,Pipeline,1,42,17453.184,,,3024,15.12,17238,17453.18
305771,10550,Residential,Purchase,10,Pipeline,23,23,10725,1980,3795,1564,7.82,8989,16500
309227,10550,Residential,Power Purchase Agreement,20,Pipeline,14,14,3609.62,2667.98,9416.4,649,5.32,4467,15694
309234,10550,Residential,Power Purchase Agreement,20,Pipeline,12,12,7506.216,1526.688,3689.496,520,4.56,3525,12722.4
309229,10550,Residential,Power Purchase Agreement,20,Pipeline,10,10,2080.12,1345.96,8809.92,517,3.8,3536,12236
279695,10552,Residential,Purchase,15,Pipeline,1,150,20017.6196,4684.9748,17888.0856,895,8.77,6082,42590.68
300339,10552,Residential,Lease,31,Complete,21,21,6755.427,4358.34,10677.933,1260,6.3,7891,21791.7
300326,10552,Residential,Lease,31,Complete,19,19,13741.56,3926.16,1963.08,1140,5.7,7176,19630.8
283421,10553,Residential,Purchase,23,Pipeline,29,29,17844.78,2929.74,5859.48,1856,9.28,9324,26634
267279,10553,Residential,Power Purchase Agreement,11,Pipeline,11,11,9597.214,2117.0325,2399.3035,770,3.85,4162,14113.55
303012,10553,Residential,Power Purchase Agreement,16,Complete,14,14,2162.944,2162.944,9192.512,590,4.76,3843,13518.4
293196,10553,Non-Residential,Purchase,11,Pipeline,8,1316,202559.76,56266.6,303839.64,169764,565.88,735664,562666
295593,10560,Residential,Purchase,22,Complete,2,36,13572,4959,7569,1628,12.24,6138,26100
308900,10562,Residential,Purchase,9,Pipeline,46,46,38042.193,7064.9787,9238.8183,1619,18.4,10617,54345.99
305430,10562,Residential,Purchase,19,Pipeline,1,33,6417.84,7898.88,35051.28,2244,11.22,11207,49368
309206,10562,Residential,Purchase,25,Pipeline,26,26,6829.48,4878.2,37074.32,2172,10.86,11896,48782
298091,10562,Residential,Purchase,25,Pipeline,61,61,29044.6,8043.12,7596.28,4636,23.18,22957,44684
308976,10562,Residential,Purchase,19,Pipeline,14,14,28680.598,5904.829,7591.923,1148,5.74,5884,42177.35
289125,10562,Residential,Power Purchase Agreement,16,Pipeline,2,37,28492.98,5698.596,3799.064,2368,11.84,13239,37990.64
280590,10562,Residential,Power Purchase Agreement,19,Pipeline,1,10,14417.4888,5914.8672,16635.564,333,3.2,2187,36967.92
291846,10562,Residential,Purchase,13,Complete,38,38,24814.47,6473.34,4675.19,2584,12.92,13212,35963
278845,10562,Residential,Purchase,6,Pipeline,25,25,22604.6464,6004.3592,6710.7544,1575,7.88,8569,35319.76
291804,10562,Residential,Purchase,17,Complete,27,27,21320.46,3722.62,8798.92,1809,9.05,11530,33842
